"","book","chapter","character","word_count"
"78","The Eye of the World","Ch42: Remembrance of Dreams","Rand al'Thor",4720
"79","The Eye of the World","Ch43: Decisions and Apparitions","Rand al'Thor",4900
"80","The Eye of the World","Ch44: The Dark Along the Ways","Rand al'Thor",5305
"81","The Eye of the World","Ch45: What Follows in Shadow","Rand al'Thor",5563
"82","The Eye of the World","Ch46: Fal Dara","Rand al'Thor",6748
"83","The Eye of the World","Ch47: More Tales of the Wheel","Rand al'Thor",5169
"84","The Eye of the World","Ch48: The Blight","Rand al'Thor",4586
"85","The Eye of the World","Ch49: The Dark One Stirs","Rand al'Thor",3478
"86","The Eye of the World","Ch50: Meetings at the Eye","Rand al'Thor",4544
"87","The Eye of the World","Ch51: Against the Shadow","Rand al'Thor",3513
"88","The Eye of the World","Ch52: Neither Beginning Nor End","Rand al'Thor",3878
"89","The Eye of the World","Ch53: The Wheel Turns","Rand al'Thor",3204
"90","The Eye of the World","Ch53: The Wheel Turns","Moiraine Damodred",124
"91","The Great Hunt","Prologue: In the Shadow","Quote",207
"92","The Great Hunt","Prologue: In the Shadow","Jaichim Carridin",5313
"93","The Great Hunt","Ch1: The Flame of Tar Valon","Rand al'Thor",4202
"94","The Great Hunt","Ch2: The Welcome","Rand al'Thor",4551
"95","The Great Hunt","Ch3: Friends And Enemies","Rand al'Thor",8430
"96","The Great Hunt","Ch4: Summoned","Moiraine Damodred",6437
"97","The Great Hunt","Ch5: The Shadow in Shienar","Moiraine Damodred",3869
"98","The Great Hunt","Ch5: The Shadow in Shienar","Geofram Bornhald",1446
"99","The Great Hunt","Ch5: The Shadow in Shienar","Liandrin",2222
"100","The Great Hunt","Ch5: The Shadow in Shienar","Padan Fain",171
"101","The Great Hunt","Ch6: Dark Prophecy","Rand al'Thor",7265
"102","The Great Hunt","Ch7: Blood Calls Blood","Moiraine Damodred",3558
"103","The Great Hunt","Ch7: Blood Calls Blood","Perrin Aybara",1191
"104","The Great Hunt","Ch7: Blood Calls Blood","Rand al'Thor",2174
"105","The Great Hunt","Ch8: The Dragon Reborn","Rand al'Thor",4591
"106","The Great Hunt","Ch8: The Dragon Reborn","Moiraine Damodred",156
"107","The Great Hunt","Ch8: The Dragon Reborn","Nynaeve al'Meara",2510
"108","The Great Hunt","Ch8: The Dragon Reborn","Egwene al'Vere",2312
"109","The Great Hunt","Ch9: Leavetakings","Rand al'Thor",4102
"110","The Great Hunt","Ch9: Leavetakings","Bayle Domon",4052
"111","The Great Hunt","Ch10: The Hunt Begins","Rand al'Thor",8585
"112","The Great Hunt","Ch11: Glimmers of the Pattern","Rand al'Thor",3407
"113","The Great Hunt","Ch11: Glimmers of the Pattern","Padan Fain",1127
"114","The Great Hunt","Ch12: Woven in the Pattern","Egwene al'Vere",5898
"115","The Great Hunt","Ch13: From Stone to Stone","Rand al'Thor",3284
"116","The Great Hunt","Ch14: Wolf brother","Perrin Aybara",3467
"117","The Great Hunt","Ch15: Kinslayer","Rand al'Thor",4728
"118","The Great Hunt","Ch16: In the Mirror of Darkness","Rand al'Thor",6407
"119","The Great Hunt","Ch17: Choices","Rand al'Thor",3111
"120","The Great Hunt","Ch18: To the White Tower","Egwene al'Vere",4665
"121","The Great Hunt","Ch19: Beneath the Dagger","Rand al'Thor",5238
"122","The Great Hunt","Ch19: Beneath the Dagger","Padan Fain",258
"123","The Great Hunt","Ch20: Saidin","Rand al'Thor",2677
"124","The Great Hunt","Ch21: The Nine Rings","Rand al'Thor",4394
"125","The Great Hunt","Ch22: Watchers","Moiraine Damodred",5353
"126","The Great Hunt","Ch23: The Testing","Nynaeve al'Meara",7750
"127","The Great Hunt","Ch24: New Friends and Old Enemies","Egwene al'Vere",4221
"128","The Great Hunt","Ch24: New Friends and Old Enemies","Min Farshaw",192
"129","The Great Hunt","Ch25: Cairhien","Rand al'Thor",4584
"130","The Great Hunt","Ch26: Discord","Rand al'Thor",4291
"131","The Great Hunt","Ch26: Discord","Thomdril Merrilin",629
"132","The Great Hunt","Ch27: The Shadow in the Night","Rand al'Thor",5070
"133","The Great Hunt","Ch28: A New Thread in the Pattern","Perrin Aybara",2690
"134","The Great Hunt","Ch29: Seanchan","Geofram Bornhald",1582
"135","The Great Hunt","Ch29: Seanchan","Bayle Domon",5600
"136","The Great Hunt","Ch30: Daes Dae'mar","Rand al'Thor",4507
"137","The Great Hunt","Ch31: On the Scent","Rand al'Thor",1875
"138","The Great Hunt","Ch31: On the Scent","Perrin Aybara",2940
"139","The Great Hunt","Ch32: Dangerous Words","Rand al'Thor",4079
"140","The Great Hunt","Ch33: A Message From The Dark","Rand al'Thor",5831
"141","The Great Hunt","Ch34: The Wheel Weaves","Thomdril Merrilin",2121
"142","The Great Hunt","Ch34: The Wheel Weaves","Padan Fain",3916
"143","The Great Hunt","Ch35: Stedding Tsofu","Rand al'Thor",4872
"144","The Great Hunt","Ch36: Among the Elders","Rand al'Thor",3494
"145","The Great Hunt","Ch37: What Might Be","Rand al'Thor",4942
"146","The Great Hunt","Ch38: Practice","Egwene al'Vere",4832
"147","The Great Hunt","Ch39: Flight From the White Tower","Egwene al'Vere",5278
"148","The Great Hunt","Ch40: Damane","Egwene al'Vere",4935
"149","The Great Hunt","Ch40: Damane","Nynaeve al'Meara",1741
"150","The Great Hunt","Ch41: Disagreements","Rand al'Thor",3428
"151","The Great Hunt","Ch42: Falme","Nynaeve al'Meara",1679
"152","The Great Hunt","Ch42: Falme","Egwene al'Vere",2979
"153","The Great Hunt","Ch43: A Plan","Min Farshaw",3355
"154","The Great Hunt","Ch44: Five Will Ride Forth","Perrin Aybara",1092
"155","The Great Hunt","Ch44: Five Will Ride Forth","Geofram Bornhald",1084
"156","The Great Hunt","Ch44: Five Will Ride Forth","Rand al'Thor",1561
"157","The Great Hunt","Ch45: Blademaster","Nynaeve al'Meara",2563
"158","The Great Hunt","Ch45: Blademaster","Bayle Domon",178
"159","The Great Hunt","Ch45: Blademaster","Rand al'Thor",5299
"160","The Great Hunt","Ch46: To Come Out of the Shadow","Nynaeve al'Meara",3491
"161","The Great Hunt","Ch46: To Come Out of the Shadow","Bayle Domon",245
"162","The Great Hunt","Ch46: To Come Out of the Shadow","Geofram Bornhald",197
"163","The Great Hunt","Ch46: To Come Out of the Shadow","Rand al'Thor",1157
"164","The Great Hunt","Ch47: The Grave Is No Bar to My Call","Rand al'Thor",1129
"165","The Great Hunt","Ch47: The Grave Is No Bar to My Call","Geofram Bornhald",217
"166","The Great Hunt","Ch47: The Grave Is No Bar to My Call","Rand al'Thor",2751
"167","The Great Hunt","Ch48: First Claiming","Min Farshaw",1830
"168","The Great Hunt","Ch48: First Claiming","Jaret Byar",122
"169","The Great Hunt","Ch49: What Was Meant To Be","Rand al'Thor",2381
"170","The Great Hunt","Ch50: After","Narrator",174
"171","The Great Hunt","Ch50: After","Quote",111
"172","The Dragon Reborn","Prologue: Fortress of the Light","Quote",100
"173","The Dragon Reborn","Prologue: Fortress of the Light","Pedron Niall",5530
"174","The Dragon Reborn","Prologue: Fortress of the Light","Jaichim Carridin",1220
"175","The Dragon Reborn","Ch1: Waiting","Perrin Aybara",4112
"176","The Dragon Reborn","Ch2: Saidin","Perrin Aybara",4741
"177","The Dragon Reborn","Ch3: News from the Plain","Perrin Aybara",3529
"178","The Dragon Reborn","Ch4: Shadows Sleeping","Perrin Aybara",2978
"179","The Dragon Reborn","Ch5: Nightmares Walking","Perrin Aybara",4870
"180","The Dragon Reborn","Ch6: The Hunt Begins","Perrin Aybara",5399
"181","The Dragon Reborn","Ch7: The Way Out of the Mountains","Perrin Aybara",2124
"182","The Dragon Reborn","Ch8: Jarra","Perrin Aybara",5512
"183","The Dragon Reborn","Ch9: Wolf Dreams","Perrin Aybara",2255
"184","The Dragon Reborn","Ch9: Wolf Dreams","Rand al'Thor",523
"185","The Dragon Reborn","Ch10: Secrets","Egwene al'Vere",5441
"186","The Dragon Reborn","Ch11: Tar Valon","Egwene al'Vere",3965
"187","The Dragon Reborn","Ch12: The Amyrlin Seat","Siuan Sanche",2088
"188","The Dragon Reborn","Ch13: Punishments","Egwene al'Vere",4489
"189","The Dragon Reborn","Ch14: The Bite of the Thorns","Egwene al'Vere",2759
"190","The Dragon Reborn","Ch15: The Gray Man","Egwene al'Vere",3175
"191","The Dragon Reborn","Ch16: Hunters Three","Egwene al'Vere",3234
"192","The Dragon Reborn","Ch17: The Red Sister","Egwene al'Vere",2294
"193","The Dragon Reborn","Ch18: Healing","Egwene al'Vere",2341
"194","The Dragon Reborn","Ch19: Awakening","Matrim Cauthon",2761
"195","The Dragon Reborn","Ch20: Visitations","Matrim Cauthon",4737
"196","The Dragon Reborn","Ch21: A World of Dreams","Egwene al'Vere",2557
"197","The Dragon Reborn","Ch21: A World of Dreams","Verin Mathwin",221
"198","The Dragon Reborn","Ch22: The Price of the Ring","Egwene al'Vere",8342
"199","The Dragon Reborn","Ch23: Sealed","Egwene al'Vere",3096
"200","The Dragon Reborn","Ch24: Scouting and Discoveries","Matrim Cauthon",5320
"201","The Dragon Reborn","Ch25: Questions","Egwene al'Vere",4015
"202","The Dragon Reborn","Ch26: Behind a Lock","Egwene al'Vere",2708
"203","The Dragon Reborn","Ch27: Tel'aran'rhiod","Egwene al'Vere",5580
"204","The Dragon Reborn","Ch28: A Way Out","Matrim Cauthon",2692
"205","The Dragon Reborn","Ch29: A Trap To Spring","Nynaeve al'Meara",3401
"206","The Dragon Reborn","Ch30: The First Toss","Matrim Cauthon",4191
"207","The Dragon Reborn","Ch31: The Woman of Tanchico","Matrim Cauthon",2683
"208","The Dragon Reborn","Ch32: The First Ship","Matrim Cauthon",5464
"209","The Dragon Reborn","Ch32: The First Ship","Rand al'Thor",598
"210","The Dragon Reborn","Ch33: Within the Weave","Perrin Aybara",4454
"211","The Dragon Reborn","Ch34: A Different Dance","Perrin Aybara",4158
"212","The Dragon Reborn","Ch35: The Falcon","Perrin Aybara",3225
"213","The Dragon Reborn","Ch36: Daughter of the Night","Perrin Aybara",4072
"214","The Dragon Reborn","Ch36: Daughter of the Night","Rand al'Thor",788
"215","The Dragon Reborn","Ch37: Fires in Cairhien","Egwene al'Vere",4024
"216","The Dragon Reborn","Ch38: Maidens of the Spear","Egwene al'Vere",3672
"217","The Dragon Reborn","Ch39: Threads in the Pattern","Egwene al'Vere",7593
"218","The Dragon Reborn","Ch40: A Hero in the Night","Matrim Cauthon",5947
"219","The Dragon Reborn","Ch41: A Hunter's Oath","Perrin Aybara",3027
"220","The Dragon Reborn","Ch42: Easing the Badger","Perrin Aybara",5636
"221","The Dragon Reborn","Ch43: Shadowbrothers","Perrin Aybara",2878
"222","The Dragon Reborn","Ch44: Hunted","Perrin Aybara",3136
"223","The Dragon Reborn","Ch44: Hunted","Matrim Cauthon",1801
"224","The Dragon Reborn","Ch45: Caemlyn","Matrim Cauthon",3990
"225","The Dragon Reborn","Ch46: A Message Out of the Shadow","Matrim Cauthon",4159
"226","The Dragon Reborn","Ch47: To Race the Shadow","Matrim Cauthon",2955
"227","The Dragon Reborn","Ch48: Following the Craft","Egwene al'Vere",6193
"228","The Dragon Reborn","Ch49: A Storm in Tear","Egwene al'Vere",2341
"229","The Dragon Reborn","Ch49: A Storm in Tear","Matrim Cauthon",5427
"230","The Dragon Reborn","Ch50: The Hammer","Perrin Aybara",6179
"231","The Dragon Reborn","Ch51: Bait for the Net","Nynaeve al'Meara",3499
"232","The Dragon Reborn","Ch52: In Search of a Remedy","Matrim Cauthon",2662
"233","The Dragon Reborn","Ch53: A Flow of the Spirit","Perrin Aybara",2981
"234","The Dragon Reborn","Ch54: Into the Stone","Matrim Cauthon",3813
"235","The Dragon Reborn","Ch54: Into the Stone","Rand al'Thor",139
"236","The Dragon Reborn","Ch54: Into the Stone","Egwene al'Vere",1934
"237","The Dragon Reborn","Ch54: Into the Stone","Perrin Aybara",474
"238","The Dragon Reborn","Ch54: Into the Stone","Matrim Cauthon",973
"239","The Dragon Reborn","Ch55: What Is Written in Prophecy","Rand al'Thor",2213
"240","The Dragon Reborn","Ch55: What Is Written in Prophecy","Egwene al'Vere",1003
"241","The Dragon Reborn","Ch55: What Is Written in Prophecy","Matrim Cauthon",1882
"242","The Dragon Reborn","Ch55: What Is Written in Prophecy","Perrin Aybara",740
"243","The Dragon Reborn","Ch55: What Is Written in Prophecy","Rand al'Thor",1572
"244","The Dragon Reborn","Ch56: People of the Dragon","Narrator",126
"245","The Dragon Reborn","Ch56: People of the Dragon","Matrim Cauthon",2787
"246","The Dragon Reborn","Ch56: People of the Dragon","Quote",76
"247","The Shadow Rising","Ch1: Seeds of Shadow","Quote",108
"248","The Shadow Rising","Ch1: Seeds of Shadow","Min Farshaw",9837
"249","The Shadow Rising","Ch1: Seeds of Shadow","Elaida do Avriny a'Roihan",1423
"250","The Shadow Rising","Ch1: Seeds of Shadow","Dain Bornhald",1836
"251","The Shadow Rising","Ch1: Seeds of Shadow","Suroth Sabelle Meldarath",2668
"252","The Shadow Rising","Ch2: Whirlpools in the Pattern","Perrin Aybara",4376
"253","The Shadow Rising","Ch2: Whirlpools in the Pattern","Matrim Cauthon",5072
"254","The Shadow Rising","Ch2: Whirlpools in the Pattern","Rand al'Thor",5633
"255","The Shadow Rising","Ch3: Reflection","Perrin Aybara",7299
"256","The Shadow Rising","Ch4: Strings","Thomdril Merrilin",2677
"257","The Shadow Rising","Ch5: Questioners","Egwene al'Vere",3927
"258","The Shadow Rising","Ch6: Doorways","Elayne Trakand",7490
"259","The Shadow Rising","Ch7: Playing With Fire","Egwene al'Vere",6418
"260","The Shadow Rising","Ch8: Hard Heads","Elayne Trakand",2725
"261","The Shadow Rising","Ch8: Hard Heads","Rand al'Thor",1333
"262","The Shadow Rising","Ch8: Hard Heads","Egwene al'Vere",1863
"263","The Shadow Rising","Ch9: Decisions","Matrim Cauthon",596
"264","The Shadow Rising","Ch9: Decisions","Perrin Aybara",548
"265","The Shadow Rising","Ch9: Decisions","Egwene al'Vere",779
"266","The Shadow Rising","Ch9: Decisions","Elayne Trakand",417
"267","The Shadow Rising","Ch9: Decisions","Rand al'Thor",3900
"268","The Shadow Rising","Ch10: The Stone Stands","Rand al'Thor",5458
"269","The Shadow Rising","Ch11: What Lies Hidden","Egwene al'Vere",8021
"270","The Shadow Rising","Ch12: Tanchico or the Tower","Elayne Trakand",3463
"271","The Shadow Rising","Ch13: Rumors","Matrim Cauthon",3392
"272","The Shadow Rising","Ch14: Customs of Mayene","Perrin Aybara",1980
"273","The Shadow Rising","Ch14: Customs of Mayene","Faile Bashere",1368
"274","The Shadow Rising","Ch15: Into the Doorway","Matrim Cauthon",4673
"275","The Shadow Rising","Ch16: Leavetakings","Perrin Aybara",3364
"276","The Shadow Rising","Ch16: Leavetakings","Elayne Trakand",1986
"277","The Shadow Rising","Ch17: Deceptions","Thomdril Merrilin",2933
"278","The Shadow Rising","Ch17: Deceptions","Min Farshaw",5172
"279","The Shadow Rising","Ch17: Deceptions","Sahra Covenry",592
"280","The Shadow Rising","Ch18: Into the Ways","Perrin Aybara",4350
"281","The Shadow Rising","Ch19: The Wavedancer","Elayne Trakand",5719
"282","The Shadow Rising","Ch20: Winds Rising","Elayne Trakand",6691
"283","The Shadow Rising","Ch21: Into the Heart","Moiraine Damodred",5648
"284","The Shadow Rising","Ch22: Out of the Stone","Rand al'Thor",6286
"285","The Shadow Rising","Ch23: Beyond the Stone","Egwene al'Vere",9380
"286","The Shadow Rising","Ch24: Rhuidean","Matrim Cauthon",5508
"287","The Shadow Rising","Ch25: The Road to the Spear","Rand al'Thor",6764
"288","The Shadow Rising","Ch26: The Dedicated","Rand al'Thor",8363
"289","The Shadow Rising","Ch27: Within the Ways","Perrin Aybara",4787
"290","The Shadow Rising","Ch28: To the Tower of Ghenjei","Perrin Aybara",4285
"291","The Shadow Rising","Ch29: Homecoming","Perrin Aybara",5812
"292","The Shadow Rising","Ch30: Beyond the Oak","Perrin Aybara",4593
"293","The Shadow Rising","Ch31: Assurances","Perrin Aybara",5120
"294","The Shadow Rising","Ch31: Assurances","Dain Bornhald",2070
"295","The Shadow Rising","Ch31: Assurances","Padan Fain",640
"296","The Shadow Rising","Ch32: Questions to Be Asked","Perrin Aybara",5832
"297","The Shadow Rising","Ch33: A New Weave in the Pattern","Perrin Aybara",8929
"298","The Shadow Rising","Ch34: He Who Comes With the Dawn","Rand al'Thor",7967
"299","The Shadow Rising","Ch35: Sharp Lessons","Egwene al'Vere",5260
"300","The Shadow Rising","Ch36: Misdirections","Rand al'Thor",1777
"301","The Shadow Rising","Ch36: Misdirections","Matrim Cauthon",3335
"302","The Shadow Rising","Ch37: Imre Stand","Rand al'Thor",3832
"303","The Shadow Rising","Ch37: Imre Stand","Matrim Cauthon",4001
"304","The Shadow Rising","Ch37: Imre Stand","Rand al'Thor",313
"305","The Shadow Rising","Ch38: Hidden Faces","Egeanin Tamarath",2182
"306","The Shadow Rising","Ch38: Hidden Faces","Jaichim Carridin",3194
"307","The Shadow Rising","Ch38: Hidden Faces","Liandrin",1931
"308","The Shadow Rising","Ch38: Hidden Faces","Egeanin Tamarath",2154
"309","The Shadow Rising","Ch39: A Cup of Wine","Elayne Trakand",4792
"310","The Shadow Rising","Ch39: A Cup of Wine","Nynaeve al'Meara",1032
"311","The Shadow Rising","Ch39: A Cup of Wine","Elayne Trakand",1611
"312","The Shadow Rising","Ch40: Hunter of Trollocs","Perrin Aybara",5323
"313","The Shadow Rising","Ch41: Among the Tuatha'an","Perrin Aybara",3649
"314","The Shadow Rising","Ch42: A Missing Leaf","Perrin Aybara",6113
"315","The Shadow Rising","Ch43: Care for the Living","Perrin Aybara",3698
"316","The Shadow Rising","Ch44: The Breaking Storm","Perrin Aybara",5391
"317","The Shadow Rising","Ch45: The Tinker's Sword","Perrin Aybara",7577
"318","The Shadow Rising","Ch46: Veils","Egeanin Tamarath",1037
"319","The Shadow Rising","Ch46: Veils","Elayne Trakand",6717
"320","The Shadow Rising","Ch46: Veils","Egeanin Tamarath",260
"321","The Shadow Rising","Ch46: Veils","Almurat Mor",130
"322","The Shadow Rising","Ch47: The Truth of a Viewing","Siuan Sanche",2174
"323","The Shadow Rising","Ch47: The Truth of a Viewing","Min Farshaw",866
"324","The Shadow Rising","Ch47: The Truth of a Viewing","Siuan Sanche",644
"325","The Shadow Rising","Ch47: The Truth of a Viewing","Min Farshaw",6829
"326","The Shadow Rising","Ch48: An Offer Refused","Rand al'Thor",5521
"327","The Shadow Rising","Ch49: Cold Rocks Hold","Rand al'Thor",6025
"328","The Shadow Rising","Ch50: Traps","Rand al'Thor",5129
"329","The Shadow Rising","Ch50: Traps","Matrim Cauthon",1724
"330","The Shadow Rising","Ch51: Revelations in Tanchico","Elayne Trakand",6646
"331","The Shadow Rising","Ch52: Need","Nynaeve al'Meara",6589
"332","The Shadow Rising","Ch52: Need","Elayne Trakand",2011
"333","The Shadow Rising","Ch53: The Price of a Departure","Perrin Aybara",7948
"334","The Shadow Rising","Ch54: Into the Palace","Elayne Trakand",5319
"335","The Shadow Rising","Ch54: Into the Palace","Nynaeve al'Meara",3645
"336","The Shadow Rising","Ch55: Into the Deep","Nynaeve al'Meara",3229
"337","The Shadow Rising","Ch56: Goldeneyes","Perrin Aybara",8248
"338","The Shadow Rising","Ch56: Goldeneyes","Padan Fain",514
"339","The Shadow Rising","Ch57: A Breaking in the Three-fold Land","Rand al'Thor",8239
"340","The Shadow Rising","Ch58: The Traps of Rhuidean","Rand al'Thor",6665
"341","The Shadow Rising","Ch58: The Traps of Rhuidean","Quote",68
"342","The Fires of Heaven","Prologue: The First Sparks Fall","Quote",86
"343","The Fires of Heaven","Prologue: The First Sparks Fall","Elaida do Avriny a'Roihan",4773
"344","The Fires of Heaven","Prologue: The First Sparks Fall","Padan Fain",874
"345","The Fires of Heaven","Prologue: The First Sparks Fall","Rahvin",3456
"346","The Fires of Heaven","Ch1: Fanning The Sparks","Min Farshaw",8332
"347","The Fires of Heaven","Ch1: Fanning The Sparks","Gareth Bryne",2357
"348","The Fires of Heaven","Ch1: Fanning The Sparks","Alteima",3000
"349","The Fires of Heaven","Ch1: Fanning The Sparks","Morgase Trakand",247
"350","The Fires of Heaven","Ch2: Rhuidean","Rand al'Thor",9104
"351","The Fires of Heaven","Ch3: Pale Shadows","Rand al'Thor",3344
"352","The Fires of Heaven","Ch3: Pale Shadows","Matrim Cauthon",3765
"353","The Fires of Heaven","Ch4: Twilight","Rand al'Thor",5220
"354","The Fires of Heaven","Ch5: Among the Wise Ones","Egwene al'Vere",8230
"355","The Fires of Heaven","Ch6: Gateways","Rand al'Thor",8388
"356","The Fires of Heaven","Ch7: A Departure","Egwene al'Vere",2933
"357","The Fires of Heaven","Ch7: A Departure","Moiraine Damodred",1533
"358","The Fires of Heaven","Ch8: Over the Border","Nynaeve al'Meara",3390
"359","The Fires of Heaven","Ch9: A Signal","Nynaeve al'Meara",6131
"360","The Fires of Heaven","Ch10: Figs and Mice","Elayne Trakand",4608
"361","The Fires of Heaven","Ch10: Figs and Mice","Narrator",841
"362","The Fires of Heaven","Ch11: The Nine Horse Hitch","Siuan Sanche",3766
"363","The Fires of Heaven","Ch11: The Nine Horse Hitch","Min Farshaw",792
"364","The Fires of Heaven","Ch12: An Old Pipe","Gareth Bryne",2619
"365","The Fires of Heaven","Ch13: A Small Room in Sienda","Elayne Trakand",5285
"366","The Fires of Heaven","Ch14: Meetings","Nynaeve al'Meara",5010
"367","The Fires of Heaven","Ch15: What Can Be Learned in Dreams","Nynaeve al'Meara",4724
"368","The Fires of Heaven","Ch15: What Can Be Learned in Dreams","Egwene al'Vere",3147
"369","The Fires of Heaven","Ch16: An Unexpected Offer","Nynaeve al'Meara",5979
"370","The Fires of Heaven","Ch17: Heading West","Nynaeve al'Meara",4582
"371","The Fires of Heaven","Ch18: A Hound of Darkness","Liandrin",3710
"372","The Fires of Heaven","Ch19: Memories","Morgase Trakand",7451
"373","The Fires of Heaven","Ch19: Memories","Padan Fain",1680
"374","The Fires of Heaven","Ch20: Jangai Pass","Rand al'Thor",3755
"375","The Fires of Heaven","Ch21: The Gift of a Blade","Rand al'Thor",4428
"376","The Fires of Heaven","Ch22: Birdcalls by Night","Matrim Cauthon",2430
"377","The Fires of Heaven","Ch22: Birdcalls by Night","Rand al'Thor",2665
"378","The Fires of Heaven","Ch23: ""The Fifth, I Give You""","Egwene al'Vere",3556
